"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"296","du17",124,1,2,"Detke2002b (HMBH - Study Group B)",2002,"2002","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",128,50,16,123,-10.46,7.87428092,62,124,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40.799999999999997",NA,"Others","HAMD17",20.28,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"297","du18",124,2,2,"Detke2002b (HMBH - Study Group B)",2002,"2002","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",139,49,4,136,-8.29,7.813475539,48,137,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","41",NA,"Others","HAMD17",20.49,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"298","du19",125,1,4,"Detke2004 (HMAY Study Group A)",2004,"2004","duloxetine",80,80,"Fixed",80,"Licensed","Yes","Investigational",95,12,4,93,-10.22,5.496880934,60,93,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","43.1",NA,"MMRM","HAMD17",19.88,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"299","du20",125,2,4,"Detke2004 (HMAY Study Group A)",2004,"2004","duloxetine",120,120,"Fixed",120,"Licensed","Yes","Investigational",93,9,3,93,-11.06,5.496880934,66,93,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","44.7",NA,"MMRM","HAMD17",20.17,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"300","du21",125,3,4,"Detke2004 (HMAY Study Group A)",2004,"2004","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",86,10,3,85,-10.83,5.531726674,63,85,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","42",NA,"MMRM","HAMD17",20.26,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"301","du22",125,4,4,"Detke2004 (HMAY Study Group A)",2004,"2004","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",93,18,3,93,-8.07,5.496880934,41,93,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","43.7",NA,"MMRM","HAMD17",19.86,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"302","du23",126,1,2,"Perahia2008a (HMBU) (NCT00071695)",2004,"2008","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",166,35,19,159,-11.32,6.556950511,85,159,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","45.4","0.72299999999999998","MMRM","HAMD17",23.1,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"303","du24",126,2,2,"Perahia2008a (HMBU) (NCT00071695)",2004,"2008","venlafaxine",150,150,"Fixed",150,"Licensed","No","Comparator",166,22,9,164,-12.03,6.531186722,91,164,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","42.6","0.68700000000000006","MMRM","HAMD17",23.1,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"304","du25",127,1,2,"Raskin2007 (HMBV) (NCT00062673)",2004,"2007","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",207,45,20,201,-6.49,6.805174502,75,201,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","72.599999999999994","0.60399999999999998","MMRM","HAMD17",18.76,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"305","du26",127,2,2,"Raskin2007 (HMBV) (NCT00062673)",2004,"2007","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",104,24,9,102,-3.72,6.362688111,19,102,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","73.3","0.57699999999999996","MMRM","HAMD17",18.94,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"306","du27",128,1,3,"Perahia2008b (HMCQ) (NCT00067912)",2004,"2008","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",164,44,21,159,-10.76,7.061331319,79,159,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","43.1","0.67100000000000004","MMRM","HAMD17",22.21,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"307","du28",128,2,3,"Perahia2008b (HMCQ) (NCT00067912)",2004,"2008","venlafaxine",75,75,"Fixed",75,"Licensed","No","Comparator",169,31,13,166,-10.73,7.0862543,81,166,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","42.5","0.68","MMRM","HAMD17",22.51,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"308","du29",128,3,3,"Perahia2008b (HMCQ) (NCT00067912)",2004,"2008","venlafaxine",150,150,"Fixed",150,"Licensed","No","Comparator",171,37,12,166,-11.02,6.957413312,89,166,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40.6","0.62","MMRM","HAMD17",22.24,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","18","Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"309","du30",129,1,3,"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)",2005,"2007","escitalopram",10,10,"Fixed",10,"Licensed","No","Comparator",274,66,14,274,-7.22,6.62,121,267,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","43.3",NA,"LOCF","HAMD17",17.8,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"310","du31",129,2,3,"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)",2005,"2007","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",273,85,20,273,-7.61,6.94,128,262,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","41.1",NA,"LOCF","HAMD17",17.6,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"311","du32",129,3,3,"Nierenberg2007 (F1J-MC-HMCR, NCT00073411, Pigott2007)",2005,"2007","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",137,40,8,137,-5.97,6.79,50,135,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","42.5",NA,"LOCF","HAMD17",17.7,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"312","du33",130,1,2,"Lee2007 (F1J-AA-HMCV) (NCT00489775)",2005,"2007","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",238,72,20,238,-14.19,7.52,144,238,"Yes",2,NA,"Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","HAMD17","15","No",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","39",NA,"MMRM","HAMD17",21.1,"Yes",2,NA,"Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","HAMD17","15","No",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"313","du34",130,2,2,"Lee2007 (F1J-AA-HMCV) (NCT00489775)",2005,"2007","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",240,57,17,240,-13.52,7.52,157,240,"Yes",2,NA,"Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","HAMD17","15","No",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","38",NA,"MMRM","HAMD17",21.2,"Yes",2,NA,"Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","HAMD17","15","No",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"314","du37",131,1,4,"Perahia2006 (HMAY - Study Group B)",2006,"2006","duloxetine",80,80,"Fixed",80,"Licensed","Yes","Investigational",93,10,2,93,-11.06,5.689753949,60,93,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","46.5",NA,"MMRM","HAMD17",21.3,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"315","du38",131,2,4,"Perahia2006 (HMAY - Study Group B)",2006,"2006","duloxetine",120,120,"Fixed",120,"Licensed","Yes","Investigational",103,13,2,102,-11.64,5.554727716,69,102,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","44",NA,"MMRM","HAMD17",21.38,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"316","du39",131,3,4,"Perahia2006 (HMAY - Study Group B)",2006,"2006","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",97,11,1,97,-10.61,5.712337525,59,97,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","45.8",NA,"MMRM","HAMD17",21.03,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"317","du40",131,4,4,"Perahia2006 (HMAY - Study Group B)",2006,"2006","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",99,9,1,99,-10.13,5.571929648,51,99,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","44.7",NA,"MMRM","HAMD17",20.58,"Yes",4,"Unspecified","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","15","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"319","du44",132,2,4,"Higuchi2009",2009,"2009","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",75,9,3,74,-10,6.4,38,74,"No",4,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","19","Yes",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Moderate risk","39",NA,"LOCF","HAMD17",20.4,"No",4,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","19","Yes",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Moderate risk"
"321","du46",132,4,4,"Higuchi2009",2009,"2009","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",146,15,5,145,-8.3,5.8,56,145,"No",4,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","19","Yes",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk","38.700000000000003",NA,"LOCF","HAMD17",20.4,"No",4,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","19","Yes",6,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk"
"322","du47",133,1,2,"Cutler2009",2009,"2009","duloxetine",60,60,"Fixed",60,"Licensed","No","Comparator",151,46,20,141,-12.37,9.17,70,141,"No",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk","40.200000000000003",NA,"LOCF","HAMD17",25.2,"No",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk"
"323","du48",133,2,2,"Cutler2009",2009,"2009","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",157,33,7,152,-10.26,9.17,55,152,"No",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk","42.3",NA,"LOCF","HAMD17",25.2,"No",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk"
"324","du49",134,1,2,"Robinson2014 (NCT00406848)",2014,"2014","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",249,70,29,NA,NA,NA,NA,201,"No",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","20","Yes",24,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","unclear","Moderate risk","73","0.66200000000000003","MMRM","HAMD17",19.4,"No",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","20","Yes",24,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","unclear","Moderate risk"
"325","du50",134,2,2,"Robinson2014 (NCT00406848)",2014,"2014","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",121,43,7,NA,NA,NA,NA,95,"No",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","20","Yes",24,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","unclear","Low risk","73.099999999999994","0.58899999999999997","MMRM","HAMD17",19.3,"No",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","20","Yes",24,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","unclear","Low risk"
"326","du51",135,1,2,"Oakes2012a (NCT00536471)",2008,"2012","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",257,NA,NA,NA,NA,7.52,113,214,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk","42.2","0.60299999999999998","MMRM","HAMD17",22.9,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"327","du52",135,2,2,"Oakes2012a (NCT00536471)",2008,"2012","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",127,NA,NA,NA,NA,7.52,45,102,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Low risk","43.7","0.61399999999999999","MMRM","HAMD17",22.8,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Low risk"
"328","du53",136,1,2,"Oakes2012b (NCT00536471)",2008,"2012","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",261,NA,NA,NA,NA,7.52,117,220,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk","44.7","0.64800000000000002","MMRM","HAMD17",22.8,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Moderate risk"
"329","du54",136,2,2,"Oakes2012b (NCT00536471)",2008,"2012","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",131,NA,NA,NA,NA,7.52,44,110,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Low risk","43.9","0.66400000000000003","MMRM","HAMD17",22.9,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Unclear",36,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias",NA,"Low risk"
